artist,dur_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_num
Beastie Boys,159600,25,0.678,0.682,7,-10.575,1,0.174,0.0171,0.151,0.244,0.627,179.099,2
Beastie Boys,95866,29,0.754,0.689,2,-10.7,1,0.274,0.0977,0.00359,0.11,0.536,149.135,2
Beastie Boys,163173,38,0.947,0.761,2,-7.485,1,0.275,0.314,0,0.217,0.905,109.995,2
Beastie Boys,108760,29,0.291,0.905,11,-11.514,0,0.034,0.0417,0.727,0.375,0.598,106.609,2
Beastie Boys,142373,32,0.759,0.944,6,-6.715,0,0.36,0.122,0,0.366,0.406,89.032,2
Beastie Boys,199600,32,0.699,0.804,1,-8.544,1,0.154,0.334,0,0.237,0.513,97.96,2
Beastie Boys,200013,26,0.483,0.864,1,-5.674,1,0.418,1.15e-4,0.0368,0.367,0.172,201.997,2
Beastie Boys,186773,33,0.777,0.921,10,-6.989,0,0.278,0.0545,2.51e-4,0.378,0.689,101.541,2
Beastie Boys,62453,34,0.595,0.472,10,-15.223,0,0.42,0.00895,3.37e-4,0.312,0.493,86.767,2
Beastie Boys,116520,36,0.774,0.846,1,-5.171,1,0.0804,0.0307,9.28e-4,0.34,0.42,105.123,2
Beastie Boys,167322,7,0.85,0.757,4,-7.393,0,0.19,0.068,0.00246,0.214,0.319,99.943,2
Beastie Boys,167243,34,0.655,0.916,9,-7.385,1,0.0785,0.153,0.682,0.0681,0.347,105.097,2
Beastie Boys,370493,25,0.613,0.587,2,-11.88,1,0.378,0.283,0,0.654,0.602,81.483,2
Beastie Boys,266360,27,0.788,0.785,1,-6.189,1,0.253,0.00547,6.56e-6,0.693,0.529,88.882,2
Beastie Boys,209493,20,0.721,0.686,2,-13.799,0,0.0623,0.0321,0.673,0.0791,0.858,158.838,2
Beastie Boys,114693,40,0.804,0.786,7,-9.441,1,0.232,0.0418,7.86e-4,0.387,0.263,104.334,2
Beastie Boys,109813,25,0.724,0.376,2,-10.722,1,0.0472,0.301,0.306,0.148,0.718,96.964,2
Beastie Boys,132293,32,0.577,0.349,4,-13.773,1,0.0315,0.0103,0.406,0.484,0.544,142.614,2
Beastie Boys,159480,34,0.679,0.731,7,-9.064,1,0.158,0.0151,0.146,0.194,0.608,179.064,2
Beastie Boys,167360,33,0.864,0.759,4,-7.426,0,0.176,0.0684,0.00467,0.22,0.329,99.943,2
Beastie Boys,149986,24,0.652,0.91,4,-9.364,0,0.18,0.109,0.0699,0.936,0.309,105.069,2
Beastie Boys,197555,36,0.783,0.323,11,-15.432,0,0.0645,0.273,0.927,0.143,0.469,129.253,2
Beastie Boys,198251,43,0.684,0.851,1,-4.794,1,0.156,0.17,0,0.191,0.497,97.897,2
Beastie Boys,147280,8,0.89,0.8,7,-7.947,1,0.141,0.34,0,0.141,0.554,122.027,2
Beastie Boys,98720,26,0.785,0.447,7,-11.164,0,0.0579,0.0111,0.102,0.0621,0.659,149.075,2
Beastie Boys,222213,33,0.53,0.91,10,-7.298,0,0.0451,0.00725,0.773,0.186,0.862,166.239,2
Beastie Boys,291800,48,0.627,0.872,11,-4.388,0,0.158,0.00566,0,0.522,0.548,93.728,2
Beastie Boys,179722,6,0.862,0.8,6,-8.054,1,0.321,0.495,4.86e-6,0.381,0.809,97.884,2
Beastie Boys,248506,47,0.65,0.942,1,-6.609,1,0.0754,0.0102,0,0.122,0.785,101.786,2
Beastie Boys,133933,27,0.416,0.661,9,-12.769,1,0.0547,0.0176,0.631,0.0901,0.806,159.617,2
Beastie Boys,11280,0,0,0.22,6,-22.619,1,0,0.975,0.024,0.11,0,0,2
Beastie Boys,223306,37,0.486,0.929,1,-3.917,1,0.0768,7.76e-5,0.109,0.629,0.268,110.073,2
Beastie Boys,194421,40,0.749,0.852,0,-9.983,1,0.0735,0.268,0.0127,0.52,0.677,98,2
Beastie Boys,148626,7,0.938,0.767,1,-8.258,1,0.155,0.0228,1.36e-4,0.085,0.863,105.014,2
Beastie Boys,177181,36,0.53,0.474,5,-16.56,1,0.063,0.0763,0.901,0.197,0.388,108.398,2
Beastie Boys,147280,30,0.9,0.788,7,-8.004,1,0.137,0.326,0,0.14,0.516,121.978,2
Beastie Boys,134920,31,0.343,0.942,9,-7.818,1,0.473,0.0208,0.0038,0.791,0.137,93.552,2
Beastie Boys,127240,42,0.662,0.932,6,-5.658,0,0.0728,0.00103,0.00444,0.121,0.708,102.013,2
Beastie Boys,132440,9,0.556,0.315,4,-14.913,1,0.032,0.0113,0.565,0.58,0.481,142.522,2
Beastie Boys,195893,41,0.792,0.596,9,-14.478,0,0.0787,0.0266,0.873,0.0804,0.802,92.212,2
Beastie Boys,223306,14,0.488,0.934,1,-3.901,1,0.0782,7.48e-5,0.0789,0.596,0.32,110.062,2
Beastie Boys,214346,36,0.52,0.628,1,-12.544,1,0.0389,0.00656,0.532,0.241,0.336,113.961,2
Beastie Boys,217173,46,0.688,0.964,5,-5.037,0,0.305,0.0533,1.07e-4,0.0519,0.698,171.188,2
Beastie Boys,73453,25,0.637,0.637,0,-8.287,0,0.287,0.46,0,0.163,0.779,100.867,2
Beastie Boys,141213,26,0.638,0.209,2,-18.583,1,0.823,0.749,0,0.253,0.154,86.744,2
Beastie Boys,257066,29,0.762,0.797,1,-7.216,1,0.222,0.0226,0.00591,0.066,0.616,99.684,2
Beastie Boys,198253,51,0.888,0.699,1,-10.425,1,0.164,0.0159,3.06e-4,0.111,0.697,103.066,2
Beastie Boys,267680,29,0.637,0.697,6,-12.272,0,0.0789,0.0384,0.515,0.779,0.779,168.22,2
Beastie Boys,48106,34,0.875,0.482,1,-14.403,1,0.379,0.136,1.54e-5,0.346,0.66,99.868,2
Beastie Boys,133080,32,0.835,0.791,4,-6.737,0,0.106,0.242,0,0.252,0.829,108.061,2
Beastie Boys,216546,44,0.685,0.87,6,-7.234,1,0.271,0.0284,0.103,0.481,0.553,90.086,2
Beastie Boys,196373,34,0.778,0.917,1,-6.638,1,0.207,0.137,1.34e-5,0.589,0.591,87.004,2
Beastie Boys,192426,54,0.795,0.899,1,-7.02,1,0.292,0.0766,0,0.0852,0.694,115.062,2
Frank Klepacki,204666,7,0.546,0.876,2,-7.096,1,0.0505,0.0344,0.788,0.139,0.436,89.972,4
Frank Klepacki,237000,10,0.564,0.935,10,-6.15,0,0.0389,1.56e-5,0.909,0.0992,0.518,109.969,4
Frank Klepacki,241813,19,0.503,0.465,9,-16.761,0,0.0471,0.248,0.569,0.132,0.232,79.992,4
Frank Klepacki,170013,9,0.162,0.312,0,-24.929,0,0.091,0.739,0.952,0.11,0.0696,140.71,4
Frank Klepacki,127813,21,0.502,0.202,10,-22.095,0,0.0383,0.0423,0.863,0.089,0.0824,141.786,4
Frank Klepacki,189346,5,0.568,0.841,1,-5.725,1,0.0568,3.65e-5,0,0.305,0.561,100.02,4
Frank Klepacki,181360,26,0.56,0.913,8,-5.575,1,0.0442,2.98e-4,0.888,0.115,0.752,161.969,4
Frank Klepacki,181973,8,0.492,0.491,11,-11.117,1,0.0341,0.549,0.862,0.112,0.0644,123.914,4
Frank Klepacki,287680,6,0.652,0.893,1,-7.808,1,0.037,0.00262,0.615,0.169,0.702,119.965,4
Frank Klepacki,185225,21,0.296,0.301,0,-18.912,1,0.0339,0.467,0.884,0.108,0.16,150.069,4
Frank Klepacki,232106,6,0.381,0.772,7,-10.421,1,0.0418,1.48e-4,0.879,0.119,0.725,75.013,4
Frank Klepacki,282306,22,0.629,0.494,10,-14.801,0,0.0449,0.0438,0.907,0.0934,0.313,120.003,4
Frank Klepacki,178293,16,0.455,0.956,2,-7.865,1,0.0574,8.18e-5,0.893,0.232,0.312,130.051,4
Frank Klepacki,165840,20,0.539,0.731,11,-11.415,0,0.0433,7.51e-4,0.703,0.377,0.157,99.967,4
Frank Klepacki,110106,20,0.692,0.845,11,-11.797,0,0.0399,0.00377,0.871,0.215,0.712,120.077,4
Frank Klepacki,297946,6,0.507,0.935,6,-6.81,0,0.0364,1.25e-4,0.865,0.0896,0.961,154.056,4
Frank Klepacki,142933,26,0.682,0.853,11,-8.047,0,0.116,0.012,0.0647,0.324,0.693,95.945,4
Frank Klepacki,272146,22,0.636,0.925,2,-6.446,1,0.042,0.00141,0.848,0.19,0.771,108.015,4
Frank Klepacki,298853,7,0.593,0.88,1,-8.434,1,0.0347,0.0191,0.924,0.0816,0.655,99.994,4
Frank Klepacki,331026,7,0.512,0.847,5,-6.401,0,0.0269,4.51e-6,0.784,0.104,0.536,145.037,4
Frank Klepacki,192558,21,0.571,0.365,1,-16.753,0,0.0508,0.332,0.946,0.112,0.0641,171.97,4
Frank Klepacki,262840,21,0.624,0.272,7,-19.086,1,0.0378,0.0317,0.557,0.0821,0.166,160.033,4
Frank Klepacki,216760,14,0.498,0.951,10,-6.093,0,0.0441,4.88e-6,0.812,0.0837,0.44,100.001,4
Frank Klepacki,197893,20,0.507,0.369,11,-14.994,1,0.027,0.177,0.905,0.107,0.347,152.362,4
Frank Klepacki,272133,20,0.431,0.276,8,-17.609,1,0.039,0.318,0.923,0.0958,0.0335,110.011,4
Frank Klepacki,258226,19,0.511,0.393,0,-15.923,0,0.032,0.0699,0.46,0.0872,0.0488,94.994,4
Frank Klepacki,245226,24,0.694,0.749,8,-12.549,1,0.0417,0.0016,0.874,0.118,0.5,125.009,4
Frank Klepacki,197642,26,0.638,0.292,1,-19.841,1,0.0311,0.702,0.842,0.112,0.152,100.011,4
Frank Klepacki,234973,24,0.659,0.643,10,-11.339,0,0.0367,0.0119,0.901,0.11,0.282,115.996,4
Frank Klepacki,154426,19,0.534,0.283,0,-15.4,0,0.0353,0.944,0.975,0.176,0.0713,119.927,4
Frank Klepacki,192893,24,0.595,0.551,2,-12.534,1,0.0553,0.00145,0.302,0.197,0.588,90.993,4
Frank Klepacki,242546,14,0.342,0.822,1,-5.376,1,0.0396,0.016,0.915,0.129,0.535,140.021,4
Frank Klepacki,320573,25,0.357,0.42,1,-13.122,1,0.0416,0.00471,0.814,0.0919,0.0724,182.166,4
Frank Klepacki,185440,13,0.628,0.821,7,-5.728,1,0.0374,2.65e-4,0.823,0.25,0.297,119.983,4
Frank Klepacki,191333,12,0.494,0.917,11,-5.999,0,0.0763,0.0316,0.921,0.0199,0.755,180.021,4
Frank Klepacki,283400,18,0.474,0.18,1,-26.569,1,0.0344,0.133,0.893,0.118,0.0544,86.993,4
Frank Klepacki,222320,7,0.522,0.966,2,-6.575,1,0.0393,4.33e-5,0.849,0.319,0.588,99.943,4
Frank Klepacki,272986,18,0.693,0.483,1,-15.383,1,0.0409,0.00169,0.867,0.135,0.18,105.057,4
Frank Klepacki,317786,17,0.519,0.349,4,-19.804,0,0.0383,0.0666,0.859,0.0879,0.128,93.983,4
Frank Klepacki,227480,3,0.676,0.845,10,-8.021,0,0.0589,4.96e-4,0.751,0.0733,0.515,94.995,4
Frank Klepacki,234453,7,0.406,0.92,9,-4.654,1,0.0652,8.64e-4,0.802,0.102,0.614,100.068,4
Frank Klepacki,246720,16,0.203,0.9,1,-6.54,1,0.0409,1.75e-6,0.823,0.386,0.38,135.105,4
Frank Klepacki,226080,24,0.595,0.924,2,-8.965,1,0.0428,5.07e-4,0.79,0.135,0.804,110.014,4
Frank Klepacki,255000,20,0.514,0.547,10,-14.208,1,0.0398,0.315,0.875,0.102,0.114,104.948,4
Frank Klepacki,250893,8,0.634,0.955,10,-5.172,0,0.0419,7.95e-4,0.914,0.0684,0.67,122.037,4
Frank Klepacki,208706,8,0.512,0.754,0,-12.333,1,0.0328,0.0226,0.915,0.171,0.343,140.033,4
Frank Klepacki,241000,6,0.416,0.941,0,-5.102,1,0.11,4.55e-5,0.816,0.266,0.553,179.968,4
Frank Klepacki,275146,6,0.275,0.869,8,-5.312,1,0.0468,1.39e-6,0.879,0.0814,0.453,94.975,4
Frank Klepacki,203333,14,0.557,0.948,9,-7.05,1,0.0734,1.19e-5,0.779,0.112,0.642,99.982,4
Frank Klepacki,182226,21,0.603,0.468,10,-16.529,0,0.0445,0.0719,0.793,0.109,0.0762,95.961,4
Frank Klepacki,124933,20,0.517,0.618,8,-9.325,1,0.0357,0.499,0.0432,0.0715,0.402,139.951,4
Frank Klepacki,200958,25,0.209,0.536,2,-13.782,1,0.0453,0.0894,0.679,0.124,0.166,101.921,4
Frank Klepacki,257399,23,0.606,0.6,5,-13.095,1,0.039,0.00511,0.792,0.0703,0.68,99.01,4
Frank Klepacki,211666,12,0.512,0.972,1,-6.996,1,0.039,4.76e-4,0.912,0.0631,0.7,134.976,4
Frank Klepacki,321600,6,0.641,0.843,1,-12.169,0,0.0355,0.00286,0.779,0.116,0.366,140.006,4
Frank Klepacki,206553,24,0.473,0.359,7,-18.691,1,0.0503,0.335,0.649,0.113,0.19,149.916,4
Frank Klepacki,236813,27,0.614,0.88,10,-10.353,0,0.053900000000000003,0.00733,0.652,0.104,0.367,119.906,4
Frank Klepacki,207613,4,0.77,0.871,1,-6.737,1,0.0613,1.47e-4,0.887,0.194,0.649,94.014,4
Frank Klepacki,278306,31,0.662,0.845,9,-10.112,1,0.034,7.32e-5,0.724,0.341,0.813,129.952,4
Frank Klepacki,225143,24,0.607,0.401,0,-18.686,0,0.0351,0.542,0.963,0.11,0.267,130,4
Frank Klepacki,144426,5,0.102,0.183,2,-21.141,1,0.041,0.763,0.786,0.111,0.0361,60.773,4
Frank Klepacki,308360,5,0.495,0.85,7,-7.697,1,0.046,7.46e-5,0.838,0.0554,0.557,179.988,4
Frank Klepacki,203200,4,0.644,0.962,10,-4.656,0,0.0418,5.07e-4,0.0955,0.0649,0.765,119.991,4
Frank Klepacki,210720,8,0.516,0.267,5,-14.323,0,0.0317,0.912,0.906,0.0929,0.0698,82.003,4
Frank Klepacki,288853,22,0.729,0.469,5,-14.664,0,0.0605,0.0117,0.669,0.0803,0.277,160.058,4
Frank Klepacki,166285,23,0.565,0.525,10,-13.034,1,0.0258,0.265,0.928,0.111,0.189,139.965,4
Frank Klepacki,243320,20,0.605,0.615,7,-13.809,1,0.037,0.0113,0.797,0.375,0.0563,110.021,4
Frank Klepacki,248986,6,0.587,0.86,9,-7.807,1,0.0404,6.76e-5,0.861,0.0504,0.936,160.025,4
Frank Klepacki,271253,19,0.619,0.38,1,-16.284,1,0.0428,0.00208,0.521,0.106,0.21,160.058,4
Frank Klepacki,259186,23,0.694,0.78,2,-12.384,1,0.0399,6.41e-4,0.822,0.0856,0.657,135.99,4
Frank Klepacki,336293,20,0.622,0.46,6,-14.127,1,0.0371,0.356,0.89,0.0867,0.114,132.023,4
Frank Klepacki,244760,15,0.326,0.971,7,-5.093,1,0.0721,3.35e-6,0.884,0.0721,0.266,200.047,4
Frank Klepacki,209133,22,0.291,0.725,7,-8.23,0,0.0422,2.09e-4,0.927,0.102,0.24,126.998,4
Frank Klepacki,242120,28,0.683,0.74,10,-12.338,0,0.0503,2.45e-4,0.505,0.235,0.556,120.022,4
Frank Klepacki,192146,6,0.696,0.889,7,-8.56,1,0.0541,0.00132,0.841,0.103,0.411,130.06,4
